,Equal Weight,Regime-Based (B),Bayesian Momentum (B),BayesianRiskParity (B),Rule-Based Regime (NB),Classical Momentum (NB),Inverse Vol (NB),SPY Only,GLD Only,BTC-USD Only,TLT Only,GSG Only
2024-07-22,116074.77936933383,110973.50149421235,122274.13877197748,110705.7799439908,117357.68589722666,124960.76725622003,112569.04831908028,117712.24644485551,115587.8934374266,138126.3043618811,95593.63636987576,108274.88967997914
2024-07-23,115338.16787554511,110504.43758545072,121806.55752974871,110345.62318979178,116973.25809375898,124613.78753979979,112191.0694410323,117527.4425641858,115993.66555760373,134696.42054528385,95459.41239927527,107469.86898932967
2024-07-24,114250.207082488,109732.70831905311,120339.31339485993,109394.98875979321,114855.42375005002,122984.35350699493,110939.25109421978,114833.32108001664,115586.46897151916,133556.59295902777,94421.99345313007,107319.38262473253
2024-07-25,114172.7643716802,109825.38937887065,120204.45908536734,109297.61547239874,114441.90569518808,122745.19107220601,110762.7720665221,114233.4378730977,113763.85522325836,134381.65399473842,95192.61002761076,107669.68949390881
2024-07-26,115316.6435625975,110487.9628699536,121761.50645736692,109840.03994927103,115645.3877360045,124318.87158716605,111484.42988323946,115505.73102624438,114956.03494236757,138673.80297423922,95932.5621565648,106459.90610844734
2024-07-29,114840.28470709504,109991.42256783867,121511.94194024458,109550.672014739,115410.17940194817,124124.31117383175,111264.03226022242,115573.57631512983,114794.40167300757,136425.55131973416,96446.99712159843,105503.29340610353
2024-07-30,114760.81763468464,110093.82680167453,121403.24309907986,109620.26211855045,115105.27485987605,123950.46231148682,111253.46412982461,114986.53793023211,115934.99152225877,135156.06432999356,96817.6683402461,105202.14470454177
2024-07-31,115783.06542826757,111464.93584464914,121868.1444588724,111241.54131360336,116499.7648844844,124182.00165516345,112860.8300371305,116840.58085414651,118015.87160633151,131887.52432802157,97802.99417979624,107776.6338097622
2024-08-01,115444.01742556598,111361.58959983746,121968.66237773854,110701.90402434046,115571.77758437574,124253.44603060033,112163.75352161731,115174.18205341246,117608.84858924075,133385.74630835434,98642.9010926969,105957.57262100493
2024-08-02,113808.33145624898,111572.9544371689,121747.89807515303,110434.99234979652,113590.64430380762,123649.70351624864,111328.30909339435,113009.61162553942,117384.63385971592,125086.88348091122,101669.84810402176,103985.50954956138
2024-08-05,109922.67943404688,109372.20424982577,118124.95929526666,108592.85469204816,109943.94408937811,119932.88401033774,109106.84528829347,109669.48389064393,115885.2604734408,108972.02092088904,102206.3520130569,103483.40376457106
2024-08-06,110181.67728364376,108875.0207062254,117593.6656195029,108019.23998220381,110536.30382132174,119194.3203200821,108875.2171972274,110675.96451548456,114954.3667743093,113019.07451663972,99894.20590074948,103081.91613914113
2024-08-07,109761.4515648703,108771.9421662589,117146.86850687901,107992.25400050891,109972.61005698232,118869.972651819,108701.31593934768,109933.68967938522,114876.21400805656,110969.81880332038,99188.46516880191,104474.93960327463
2024-08-08,113111.40420050925,110611.53207352778,118494.2916612064,109262.38911116195,112954.31472344523,120059.90197208709,110529.20907364332,112446.1391131041,116664.40343964752,123688.7197346429,98576.38251319874,105074.21854640685
2024-08-09,113321.82231256735,111072.02440719,119163.7570781406,109815.87902091599,113291.93952411527,120758.90687968745,111019.86185995038,112940.90159094513,116950.49395490089,122013.77241739779,99543.75618596874,105723.29452787199
2024-08-12,113640.97166175178,111864.93262218984,119660.6814990703,110768.42047358069,113495.64726447799,121544.03385493216,111835.46402454207,113000.22812315197,118938.57686198468,118917.26157858163,99905.02365863313,107658.66984743497
2024-08-13,114375.7466847052,112404.89020154154,120528.13973545567,111211.3512362104,114726.13874676512,122321.71055180405,112320.83171748492,114843.45857139451,118756.18049029665,121405.55048920962,100595.49548976116,106551.37476298104
2024-08-14,113599.52579938479,111660.61924001513,120419.63005855367,110950.6959135697,114454.20002494418,122238.44325211999,112058.05616979729,115205.21456797584,117783.66340622581,117596.05053533828,101224.32272942168,106150.05123952986
2024-08-15,113530.36984291789,111602.47467577682,120742.4905430391,111287.59092604174,115279.999667917,122589.4735138134,112407.33722408128,117163.12254692492,118152.78904960198,115215.33470908254,100404.09406109185,106699.39934386204
2024-08-16,114501.68669661191,112545.0357424545,121504.13898733484,111928.23378641914,115942.67482219815,123343.35113449681,113048.65357271931,117425.50135473684,120768.78770794842,117855.08279687249,100755.07046424404,105844.79376139469
2024-08-19,114867.2873816994,112899.13332041552,121824.35774007099,112173.98521473345,116638.70436478371,123658.51444259564,113300.11837054927,118542.92630191929,120570.80350305495,119048.39689108617,101219.29345473781,105141.50656363677
2024-08-20,114800.36944975446,112997.12794410414,122095.11525700166,112277.41427425151,116516.59405918566,123914.3975311142,113359.57425145038,118350.01667516796,121012.48700716192,118082.67336634877,102022.62582945784,104639.63492527661
2024-08-21,115490.1287206007,113176.6053498424,122175.3591972665,112305.39361826875,117083.16737546326,123907.7454844956,113480.14570341594,118756.00739582247,120850.99488450444,122332.17213053026,102084.6592757776,103734.5275664185
2024-08-22,114564.75212336356,112236.47528123207,121140.45336593373,111494.24225168559,116151.96115061885,122876.48460404052,112675.65032847195,117820.28874925214,119395.06799219766,120735.47866110361,101066.2718311263,104034.48990129493
2024-08-23,116991.18640883527,113818.9605341378,122460.77932403,112985.86081207382,118064.27381460358,124223.3586632407,114332.90979663082,119065.56182970875,120766.58234185068,127939.3635641881,101725.82448667467,105870.58095812441
2024-08-26,116832.56028902662,113655.02925582358,122473.85055453068,113145.96650776954,117850.10480782285,124281.19343201428,114524.46658408124,118781.39320689742,121151.13489280968,125493.46293715002,101467.01880233317,107361.74622720531
2024-08-27,115455.56614574211,112543.72911819746,122318.30405962338,112666.89746256477,117150.32324996595,124181.44501284375,114018.08083036348,118944.39641948277,121478.60825551122,118567.11760256556,101291.11794368451,106709.08386959486
2024-08-28,114671.9618539897,111884.84541818615,121670.10976584873,111954.85032756314,116405.45490104235,123494.28994786853,113269.81775965205,118251.88061102909,120621.98156587032,117613.81254329544,101166.94670568591,105450.41056677414
2024-08-29,115116.76373680447,112185.07143430569,121922.64378540074,112315.43172263834,116660.93284249838,123778.99189983956,113657.72496201127,118262.463802361,121244.94835071344,118330.04028988896,100835.57974550927,106644.76382069284
2024-08-30,114526.05304792918,111504.54589656624,121328.33251759254,111716.675759939,116820.96011026339,123198.67313676054,113084.55904105508,119386.03379269177,120377.86270401484,117793.43856977495,99754.58477763044,105284.93753928231
